Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NFLX220617C00005000,2022-06-15 12:20PM EDT,5.0,174.1,169.8,170.75,0.0,-,20.0,123,"3,228.13%"
NFLX220617C00010000,2022-06-16 11:26AM EDT,10.0,163.88,165.35,165.8,0.0,-,24.0,172,"2,125.00%"
NFLX220617C00015000,2022-06-16 11:28AM EDT,15.0,159.12,160.4,160.8,0.0,-,24.0,107,"1,875.00%"
NFLX220617C00020000,2022-06-16 11:37AM EDT,20.0,153.13,155.15,156.1,0.0,-,24.0,177,"1,696.88%"
NFLX220617C00025000,2022-06-16 1:40PM EDT,25.0,149.15,148.85,154.15,0.0,-,24.0,154,"2,099.22%"
NFLX220617C00030000,2022-06-17 10:08AM EDT,30.0,146.5,144.45,146.05,2.7,+1.88%,1.0,160,"1,706.25%"
NFLX220617C00035000,2022-06-16 1:50PM EDT,35.0,138.24,137.75,144.25,0.0,-,24.0,47,"1,533.59%"
NFLX220617C00040000,2022-06-13 12:03PM EDT,40.0,132.47,135.2,135.95,0.0,-,50.0,150,"1,081.25%"
NFLX220617C00045000,2022-06-16 1:34PM EDT,45.0,129.63,128.75,134.4,0.0,-,24.0,12,"1,488.28%"
NFLX220617C00050000,2022-02-01 10:55AM EDT,50.0,378.52,316.45,321.9,0.0,-,1.0,114,0.00%
NFLX220617C00055000,2022-06-16 1:26PM EDT,55.0,118.94,117.9,124.05,0.0,-,20.0,35,"1,107.03%"
NFLX220617C00060000,2022-06-13 12:04PM EDT,60.0,112.2,115.2,117.05,0.0,-,40.0,97,"1,077.34%"
NFLX220617C00065000,2022-06-13 12:00PM EDT,65.0,107.5,107.75,114.25,0.0,-,0.0,20,965.63%
NFLX220617C00070000,2022-05-20 1:22PM EDT,70.0,110.51,104.35,109.2,0.0,-,1.0,28,"1,069.14%"
NFLX220617C00080000,2022-06-10 9:30AM EDT,80.0,102.13,94.9,99.3,0.0,-,1.0,10,976.17%
NFLX220617C00085000,2022-05-26 1:26PM EDT,85.0,105.55,87.75,94.2,0.0,-,7.0,7,718.36%
NFLX220617C00090000,2022-06-06 9:30AM EDT,90.0,111.62,85.05,89.15,0.0,-,1.0,11,848.05%
NFLX220617C00100000,2022-06-10 12:16PM EDT,100.0,84.41,75.15,78.7,0.0,-,2.0,49,713.87%
NFLX220617C00105000,2022-06-02 9:48AM EDT,105.0,88.35,67.65,74.3,0.0,-,1.0,8,529.30%
NFLX220617C00110000,2022-06-06 9:30AM EDT,110.0,91.66,64.6,69.15,0.0,-,1.0,21,606.45%
NFLX220617C00115000,2022-05-13 10:23AM EDT,115.0,66.0,66.95,69.25,0.0,-,1.0,1,948.34%
NFLX220617C00120000,2022-06-17 10:50AM EDT,120.0,54.0,53.15,58.35,-10.26,-15.97%,2.0,65,364.84%
NFLX220617C00125000,2022-06-16 2:11PM EDT,125.0,47.63,47.65,54.2,0.0,-,3.0,29,363.09%
