Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NFLX220624P00100000,2022-06-21 1:59PM EDT,100.0,0.01,0.0,0.01,-0.03,-75.00%,16,2756,162.50%
NFLX220624P00105000,2022-06-21 1:30PM EDT,105.0,0.01,0.0,0.01,-0.01,-50.00%,37,66,150.00%
NFLX220624P00110000,2022-06-17 9:38AM EDT,110.0,0.03,0.0,0.03,0.0,-,4,1070,148.44%
NFLX220624P00115000,2022-06-21 10:01AM EDT,115.0,0.01,0.0,0.03,-0.05,-83.33%,5,263,134.38%
NFLX220624P00120000,2022-06-21 2:15PM EDT,120.0,0.01,0.01,0.02,0.0,-,17,325,121.88%
NFLX220624P00125000,2022-06-21 1:37PM EDT,125.0,0.02,0.01,0.02,-0.01,-33.33%,264,185,107.81%
NFLX220624P00128000,2022-06-21 9:47AM EDT,128.0,0.01,0.0,0.03,-0.03,-75.00%,100,32,100.78%
NFLX220624P00129000,2022-06-21 2:25PM EDT,129.0,0.03,0.02,0.03,-0.02,-40.00%,4,2,103.91%
NFLX220624P00130000,2022-06-21 1:44PM EDT,130.0,0.03,0.01,0.04,-0.02,-40.00%,20,411,100.78%
NFLX220624P00132000,2022-06-21 12:31PM EDT,132.0,0.04,0.01,0.03,-0.01,-20.00%,8,1,93.75%
NFLX220624P00133000,2022-06-21 2:04PM EDT,133.0,0.03,0.02,0.03,-0.03,-50.00%,12,10,93.75%
NFLX220624P00134000,2022-06-21 12:29PM EDT,134.0,0.03,0.02,0.04,-0.04,-57.14%,15,7,92.97%
NFLX220624P00135000,2022-06-21 1:57PM EDT,135.0,0.04,0.03,0.04,-0.02,-33.33%,61,302,91.80%
NFLX220624P00136000,2022-06-21 1:30PM EDT,136.0,0.05,0.03,0.04,-0.02,-28.57%,59,20,89.06%
NFLX220624P00137000,2022-06-21 1:19PM EDT,137.0,0.05,0.04,0.05,-0.03,-37.50%,4,24,89.45%
NFLX220624P00138000,2022-06-21 2:01PM EDT,138.0,0.07,0.04,0.06,-0.01,-12.50%,16,11,87.89%
NFLX220624P00139000,2022-06-21 2:03PM EDT,139.0,0.07,0.05,0.06,-0.27,-79.41%,41,16,86.33%
NFLX220624P00140000,2022-06-21 2:23PM EDT,140.0,0.07,0.07,0.08,-0.03,-30.00%,607,1264,87.11%
NFLX220624P00141000,2022-06-21 2:11PM EDT,141.0,0.09,0.07,0.08,-0.03,-25.00%,27,13,84.38%
NFLX220624P00142000,2022-06-21 1:48PM EDT,142.0,0.1,0.09,0.09,-0.12,-54.55%,44,15,83.98%
NFLX220624P00143000,2022-06-21 1:36PM EDT,143.0,0.09,0.09,0.11,-0.14,-60.87%,39,86,82.42%
NFLX220624P00144000,2022-06-21 1:37PM EDT,144.0,0.12,0.12,0.13,-0.07,-36.84%,59,10,82.62%
NFLX220624P00145000,2022-06-21 2:22PM EDT,145.0,0.13,0.13,0.15,-0.06,-31.58%,195,700,81.25%
NFLX220624P00146000,2022-06-21 2:12PM EDT,146.0,0.17,0.16,0.16,-0.03,-15.00%,57,147,80.08%
NFLX220624P00147000,2022-06-21 1:58PM EDT,147.0,0.22,0.16,0.19,-0.04,-15.38%,7,4,78.32%
NFLX220624P00148000,2022-06-21 2:07PM EDT,148.0,0.24,0.2,0.22,0.0,-,187,13,77.93%
NFLX220624P00149000,2022-06-21 2:08PM EDT,149.0,0.28,0.24,0.25,-0.05,-15.15%,34,9,77.15%
NFLX220624P00150000,2022-06-21 2:20PM EDT,150.0,0.3,0.28,0.29,-0.04,-11.76%,1311,1131,76.37%
NFLX220624P00152500,2022-06-21 2:12PM EDT,152.5,0.44,0.4,0.45,0.03,+7.32%,427,25,74.85%
NFLX220624P00155000,2022-06-21 2:22PM EDT,155.0,0.66,0.57,0.62,0.06,+10.00%,1000,1113,72.46%
NFLX220624P00157500,2022-06-21 2:22PM EDT,157.5,0.89,0.82,0.86,0.08,+9.88%,704,646,70.36%
NFLX220624P00160000,2022-06-21 2:24PM EDT,160.0,1.2,1.17,1.23,0.15,+14.29%,2425,1402,68.85%
NFLX220624P00162500,2022-06-21 2:24PM EDT,162.5,1.65,1.64,1.71,0.27,+19.57%,1050,275,67.24%
NFLX220624P00165000,2022-06-21 2:23PM EDT,165.0,2.23,2.22,2.29,0.38,+20.54%,4928,762,64.89%
NFLX220624P00167500,2022-06-21 2:23PM EDT,167.5,3.0,3.05,3.2,0.56,+22.95%,1236,252,64.40%
NFLX220624P00170000,2022-06-21 2:24PM EDT,170.0,4.15,4.0,4.15,1.04,+33.44%,5120,1172,62.09%
NFLX220624P00172500,2022-06-21 2:24PM EDT,172.5,5.35,5.25,5.35,1.35,+33.75%,1331,478,60.57%
NFLX220624P00175000,2022-06-21 2:23PM EDT,175.0,6.7,6.7,7.0,1.65,+32.67%,3864,831,60.52%
NFLX220624P00177500,2022-06-21 2:22PM EDT,177.5,8.8,8.5,8.7,2.5,+39.68%,432,192,60.35%
NFLX220624P00180000,2022-06-21 2:05PM EDT,180.0,10.7,10.4,10.65,2.95,+38.06%,525,483,60.06%
