Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
HESS CORP,HES.GH,Yes,Corporate Bond,6.000,01/15/2040,Baa3,BBB-,103.276,5.702
HESS CORP,HES.GI,Yes,Corporate Bond,5.600,02/15/2041,Baa3,BBB-,98.664,5.717
HESS CORP,HES4136877,Yes,Corporate Bond,3.500,07/15/2024,Baa3,BBB-,98.772,4.139
HESS CORP,HES4405829,Yes,Corporate Bond,4.300,04/01/2027,Baa3,BBB-,99.512,4.414
HESS CORP,HES4405830,Yes,Corporate Bond,5.800,04/01/2047,Baa3,BBB-,101.269,5.702
HESS MIDSTREAM OPERATIONS LP,HES5392919,Yes,Corporate Bond,5.500,10/15/2030,Ba2,BB+,89.594,7.188
HESS MIDSTREAM OPERATIONS LP,HES4567499,Yes,Corporate Bond,5.625,02/15/2026,WR,BB+,104.500,4.431
HESS MIDSTREAM OPERATIONS LP,HES4927355,Yes,Corporate Bond,5.625,02/15/2026,,BB+,95.520,7.051
HESS MIDSTREAM OPERATIONS LP,HES5233164,Yes,Corporate Bond,4.250,02/15/2030,Ba2,BB+,84.818,6.843
HESS MIDSTREAM PARTNERS LP,HES4918686,Yes,Corporate Bond,5.125,06/15/2028,Ba2,BB+,90.268,7.164
